team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
Zimbabwe,India,218,219,9,7,India,Day and night,Coca-Cola Champions Trophy,Alistair Campbell,Zimbabwe,India,field first,United Arab Emirates,away,2000
England,Pakistan,211,214,9,2,Pakistan,Day and night,England tour of Pakistan,Shahid Afridi,Pakistan,Pakistan,field first,Pakistan,home,2000
Sri Lanka,India,294,226,5,10,Sri Lanka,Day and night,Coca-Cola Champions Trophy,Muthiah Muralidaran,Sri Lanka,India,field first,United Arab Emirates,away,2000
New Zealand,South Africa,287,289,6,5,South Africa,Day,New Zealand tour of South Africa,Gary Kirsten,South Africa,South Africa,field first,South Africa,home,2000
Sri Lanka,India,299,54,5,10,Sri Lanka,Day and night,Coca-Cola Champions Trophy,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2000
England,Pakistan,158,161,10,4,Pakistan,Day and night,England tour of Pakistan,Saqlain Mushtaq,Pakistan,Pakistan,field first,Pakistan,home,2000
New Zealand,South Africa,114,158,5,4,South Africa,Day and night,New Zealand tour of South Africa,Jacques Kallis,South Africa,South Africa,field first,South Africa,home,2000
New Zealand,South Africa,256,258,9,7,South Africa,Day,New Zealand tour of South Africa,Lance Klusener,South Africa,South Africa,field first,South Africa,home,2000
Zimbabwe,India,253,255,7,7,India,Day,Zimbabwe tour of India,Hemang Badani,India,Zimbabwe,bat first,India,home,2000
India,Zimbabwe,306,245,5,8,India,Day,Zimbabwe tour of India,Sourav Ganguly,India,India,bat first,India,home,2000
India,Zimbabwe,283,284,8,9,Zimbabwe,Day,Zimbabwe tour of India,Grant Flower,Zimbabwe,India,bat first,India,away,2000
Zimbabwe,India,165,166,10,1,India,Day,Zimbabwe tour of India,Sourav Ganguly,India,Zimbabwe,bat first,India,home,2000
India,Zimbabwe,301,262,6,10,India,Day,Zimbabwe tour of India,Ajit Agarkar,India,Zimbabwe,field first,India,home,2000
Sri Lanka,South Africa,221,223,10,6,South Africa,Day and night,Sri Lanka tour of South Africa,Jonty Rhodes,South Africa,Sri Lanka,bat first,South Africa,home,2000
South Africa,Sri Lanka,302,207,7,6,South Africa,Day,Sri Lanka tour of South Africa,Neil McKenzie,South Africa,South Africa,bat first,South Africa,home,2000
Zimbabwe,New Zealand,300,210,7,10,Zimbabwe,Day and night,Zimbabwe tour of New Zealand,Andy Flower,Zimbabwe,New Zealand,field first,New Zealand,away,2001
Zimbabwe,New Zealand,236,237,7,2,New Zealand,Day and night,Zimbabwe tour of New Zealand,Mathew Sinclair,New Zealand,Zimbabwe,bat first,New Zealand,home,2001
New Zealand,Zimbabwe,273,274,9,9,Zimbabwe,Day,Zimbabwe tour of New Zealand,Heath Streak,Zimbabwe,Zimbabwe,field first,New Zealand,away,2001
Sri Lanka,South Africa,247,250,4,2,South Africa,Day and night,Sri Lanka tour of South Africa,Jacques Kallis,South Africa,Sri Lanka,bat first,South Africa,home,2001
Australia,West Indies,267,193,6,7,Australia,Day and night,Carlton Series,Ricky Ponting,Australia,Australia,bat first,Australia,home,2001
South Africa,Sri Lanka,290,191,7,10,South Africa,Day and night,Sri Lanka tour of South Africa,Makhaya Ntini,South Africa,South Africa,bat first,South Africa,home,2001
Zimbabwe,West Indies,240,241,9,9,West Indies,Day and night,Carlton Series,Ricardo Powell,West Indies,Zimbabwe,bat first,Australia,away,2001
West Indies,Australia,234,236,8,1,Australia,Day and night,Carlton Series,Mark Waugh,Australia,West Indies,bat first,Australia,home,2001
Sri Lanka,South Africa,206,207,10,5,South Africa,Day,Sri Lanka tour of South Africa,Herschelle Gibbs,South Africa,South Africa,field first,South Africa,home,2001
Australia,West Indies,277,211,4,8,Australia,Day and night,Carlton Series,Brian Lara,West Indies,West Indies,field first,Australia,home,2001
Sri Lanka,South Africa,214,204,6,10,Sri Lanka,Day and night,Sri Lanka tour of South Africa,Russel Arnold,Sri Lanka,South Africa,field first,South Africa,away,2001
Zimbabwe,Australia,223,226,9,2,Australia,Day and night,Carlton Series,Darren Lehmann,Australia,Zimbabwe,bat first,Australia,home,2001
Zimbabwe,West Indies,138,91,10,10,Zimbabwe,Day and night,Carlton Series,Heath Streak,Zimbabwe,West Indies,field first,Australia,away,2001
West Indies,Zimbabwe,235,175,6,10,West Indies,Day and night,Carlton Series,Marlon Samuels,West Indies,West Indies,bat first,Australia,away,2001
West Indies,Australia,123,124,10,0,Australia,Day and night,Carlton Series,Brett Lee,Australia,West Indies,bat first,Australia,home,2001
Australia,Zimbabwe,291,205,6,10,Australia,Day and night,Carlton Series,Michael Bevan,Australia,Australia,bat first,Australia,home,2001
Zimbabwe,Australia,279,282,6,4,Australia,Day,Carlton Series,Alistair Campbell,Zimbabwe,Australia,field first,Australia,home,2001
Sri Lanka,New Zealand,213,152,8,10,Sri Lanka,Day and night,Sri Lanka tour of New Zealand,Muthiah Muralidaran,Sri Lanka,Sri Lanka,bat first,New Zealand,away,2001
West Indies,Zimbabwe,178,134,10,10,West Indies,Day and night,Carlton Series,Brian Lara,West Indies,West Indies,bat first,Australia,away,2001
New Zealand,Sri Lanka,205,209,8,7,Sri Lanka,Day and night,Sri Lanka tour of New Zealand,Russel Arnold,Sri Lanka,New Zealand,bat first,New Zealand,away,2001
Australia,Zimbabwe,302,301,5,6,Australia,Day,Carlton Series,Damien Martyn,Australia,Australia,bat first,Australia,home,2001
New Zealand,Sri Lanka,181,182,10,1,Sri Lanka,Day,Sri Lanka tour of New Zealand,Sanath Jayasuriya,Sri Lanka,Sri Lanka,field first,New Zealand,away,2001
Australia,West Indies,253,119,9,10,Australia,Day and night,Carlton Series,Ian Harvey,Australia,West Indies,field first,Australia,home,2001
New Zealand,Sri Lanka,182,155,9,5,Sri Lanka,Day,Sri Lanka tour of New Zealand,Sanath Jayasuriya,Sri Lanka,Sri Lanka,field first,New Zealand,away,2001
Australia,West Indies,338,299,6,10,Australia,Day and night,Carlton Series,Mark Waugh,Australia,West Indies,field first,Australia,home,2001
New Zealand,Sri Lanka,282,269,6,10,New Zealand,Day,Sri Lanka tour of New Zealand,Jacob Oram,New Zealand,Sri Lanka,field first,New Zealand,home,2001
New Zealand,Pakistan,149,150,10,4,Pakistan,Day and night,Pakistan tour of New Zealand,Shoaib Akhtar,Pakistan,Pakistan,field first,New Zealand,away,
Pakistan,New Zealand,135,136,10,4,New Zealand,Day and night,Pakistan tour of New Zealand,Daryl Tuffey,New Zealand,New Zealand,field first,New Zealand,home,2001
Pakistan,New Zealand,243,215,9,10,Pakistan,Day and night,Pakistan tour of New Zealand,Saqlain Mushtaq,Pakistan,New Zealand,field first,New Zealand,away,2001
New Zealand,Pakistan,284,146,5,10,New Zealand,Day,Pakistan tour of New Zealand,Craig McMillan,New Zealand,Pakistan,field first,New Zealand,home,2001
Pakistan,New Zealand,285,290,10,6,New Zealand,Day and night,Pakistan tour of New Zealand,Nathan Astle,New Zealand,Pakistan,bat first,New Zealand,home,2001
England,Sri Lanka,143,144,10,5,Sri Lanka,Day,England tour of Sri Lanka,Muthiah Muralidaran,Sri Lanka,England,bat first,Sri Lanka,home,2001
Sri Lanka,England,226,160,6,10,Sri Lanka,Day and night,England tour of Sri Lanka,Mahela Jayawardene,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2001
India,Australia,315,255,10,10,India,Day and night,Australia tour of India,Virender Sehwag,India,India,bat first,India,home,2001
England,Sri Lanka,165,166,9,0,Sri Lanka,Day,England tour of Sri Lanka,Romesh Kaluwitharana,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,2001
India,Australia,248,249,9,2,Australia,Day,Australia tour of India,Mark Waugh,Australia,India,bat first,India,away,2001
India,Australia,299,181,8,10,India,Day,Australia tour of India,Sachin Tendulkar,India,Australia,field first,India,home,2001
Australia,India,338,245,4,10,Australia,Day,Australia tour of India,Matthew Hayden,Australia,Australia,bat first,India,away,2001
India,Australia,265,269,6,6,Australia,Day,Australia tour of India,Michael Bevan,Australia,India,bat first,India,away,2001
Bangladesh,Zimbabwe,151,155,8,3,Zimbabwe,Day,Bangladesh tour of Zimbabwe,Bryan Strang,Zimbabwe,Bangladesh,bat first,Zimbabwe,home,2001
Zimbabwe,Bangladesh,230,103,7,10,Zimbabwe,Day,Bangladesh tour of Zimbabwe,Alistair Campbell,Zimbabwe,Bangladesh,field first,Zimbabwe,home,2001
Pakistan,Sri Lanka,255,239,9,10,Pakistan,Day and night,ARY Gold Cup,Saeed Anwar,Pakistan,Pakistan,bat first,United Arab Emirates,away,2001
Sri Lanka,New Zealand,269,163,9,10,Sri Lanka,Day and night,ARY Gold Cup,Mahela Jayawardene,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2001
Zimbabwe,Bangladesh,308,272,4,8,Zimbabwe,Day,Bangladesh tour of Zimbabwe,Grant Flower,Zimbabwe,Zimbabwe,bat first,Zimbabwe,home,2001
New Zealand,Pakistan,266,270,7,2,Pakistan,Day and night,ARY Gold Cup,Shahid Afridi,Pakistan,New Zealand,bat first,United Arab Emirates,away,2001
Pakistan,Sri Lanka,278,250,9,8,Pakistan,Day and night,ARY Gold Cup,Saeed Anwar,Pakistan,Pakistan,bat first,United Arab Emirates,away,2001
New Zealand,Pakistan,127,131,10,3,Pakistan,Day and night,ARY Gold Cup,Saqlain Mushtaq,Pakistan,New Zealand,bat first,United Arab Emirates,away,2001
New Zealand,Sri Lanka,248,169,6,8,New Zealand,Day and night,ARY Gold Cup,Mathew Sinclair,New Zealand,Sri Lanka,field first,United Arab Emirates,away,2001
Sri Lanka,Pakistan,297,220,7,10,Sri Lanka,Day and night,ARY Gold Cup,Marvan Atapattu,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2001
South Africa,West Indies,200,202,10,7,West Indies,Day,South Africa tour of West Indies,Neil McGarrell,West Indies,West Indies,field first,West Indies,home,2001
West Indies,South Africa,220,221,8,2,South Africa,Day,South Africa tour of West Indies,Herschelle Gibbs,South Africa,South Africa,field first,West Indies,away,2001
South Africa,West Indies,287,155,4,10,South Africa,Day,South Africa tour of West Indies,Jacques Kallis,South Africa,West Indies,field first,Grenada,away,2001
West Indies,South Africa,200,201,10,2,South Africa,Day,South Africa tour of West Indies,Allan Donald,South Africa,South Africa,field first,Grenada,away,2001
West Indies,South Africa,199,202,10,3,South Africa,Day,South Africa tour of West Indies,Herschelle Gibbs,South Africa,South Africa,field first,West Indies,away,2001
South Africa,West Indies,190,137,10,10,South Africa,Day,South Africa tour of West Indies,Neil McKenzie,South Africa,West Indies,field first,West Indies,away,2001
South Africa,West Indies,163,164,7,4,West Indies,Day,South Africa tour of West Indies,Cameron Cuffy,West Indies,South Africa,bat first,West Indies,home,2001
Pakistan,England,273,165,6,10,Pakistan,Day and night,NatWest Series,Saeed Anwar,Pakistan,Pakistan,bat first,England,away,2001
Pakistan,Australia,257,258,10,3,Australia,Day,NatWest Series,Ricky Ponting,Australia,Pakistan,bat first,Wales,away,2001
England,Australia,268,272,4,5,Australia,Day,NatWest Series,Ricky Ponting,Australia,England,bat first,England,away,2001
Pakistan,England,242,240,8,10,Pakistan,Day,NatWest Series,Marcus Trescothick,England,England,field first,England,away,2001
Australia,England,208,86,7,10,Australia,Day and night,NatWest Series,Jason Gillespie,Australia,Australia,bat first,England,away,2001
England,Pakistan,156,153,10,4,Pakistan,Day,NatWest Series,Waqar Younis,Pakistan,Pakistan,field first,England,away,2001
Pakistan,Australia,290,254,9,10,Pakistan,Day and night,NatWest Series,Waqar Younis,Pakistan,Pakistan,bat first,England,away,2001
England,Australia,176,177,10,2,Australia,Day,NatWest Series,Ricky Ponting,Australia,England,bat first,England,away,2001
West Indies,Zimbabwe,266,239,5,9,West Indies,Day,Coca-Cola Cup (Zimbabwe),Cameron Cuffy,West Indies,Zimbabwe,field first,Zimbabwe,away,2001
Pakistan,Australia,152,156,10,1,Australia,Day,NatWest Series,Adam Gilchrist,Australia,Pakistan,bat first,England,away,2001
Zimbabwe,India,133,137,10,1,India,Day,Coca-Cola Cup (Zimbabwe),Sachin Tendulkar,India,India,field first,Zimbabwe,away,2001
Zimbabwe,India,234,237,6,6,India,Day,Coca-Cola Cup (Zimbabwe),Rahul Dravid,India,India,field first,Zimbabwe,away,2001
West Indies,India,169,170,7,4,India,Day,Coca-Cola Cup (Zimbabwe),Sachin Tendulkar,India,India,field first,Zimbabwe,away,2001
Zimbabwe,West Indies,255,258,5,5,West Indies,Day,Coca-Cola Cup (Zimbabwe),Grant Flower,Zimbabwe,West Indies,field first,Zimbabwe,away,2001
West Indies,India,229,230,5,4,India,Day,Coca-Cola Cup (Zimbabwe),Sachin Tendulkar,India,India,field first,Zimbabwe,away,2001
West Indies,India,290,274,6,8,West Indies,Day,Coca-Cola Cup (Zimbabwe),Corey Collymore,West Indies,India,field first,Zimbabwe,away,2001
Sri Lanka,New Zealand,220,204,10,9,Sri Lanka,Day and night,Coca-Cola Cup (Sri Lanka),Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2001
New Zealand,India,211,127,8,10,New Zealand,Day and night,Coca-Cola Cup (Sri Lanka),Nathan Astle,New Zealand,New Zealand,bat first,Sri Lanka,away,2001
Sri Lanka,India,221,215,9,7,Sri Lanka,Day and night,Coca-Cola Cup (Sri Lanka),Suresh Perera,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2001
New Zealand,Sri Lanka,236,240,8,5,Sri Lanka,Day,Coca-Cola Cup (Sri Lanka),Russel Arnold,Sri Lanka,New Zealand,bat first,Sri Lanka,home,2001
New Zealand,India,200,133,10,10,New Zealand,Day,Coca-Cola Cup (Sri Lanka),Dion Nash,New Zealand,India,field first,Sri Lanka,away,2001
Sri Lanka,India,183,184,10,3,India,Day,Coca-Cola Cup (Sri Lanka),VVS Laxman,India,Sri Lanka,bat first,Sri Lanka,away,2001
Sri Lanka,New Zealand,221,115,6,9,Sri Lanka,Day,Coca-Cola Cup (Sri Lanka),Chaminda Vaas,Sri Lanka,New Zealand,field first,Sri Lanka,home,2001
India,Sri Lanka,227,181,8,10,India,Day,Coca-Cola Cup (Sri Lanka),Yuvraj Singh,India,Sri Lanka,field first,Sri Lanka,away,2001
New Zealand,India,264,267,7,3,India,Day,Coca-Cola Cup (Sri Lanka),Virender Sehwag,India,New Zealand,bat first,Sri Lanka,away,2001
Sri Lanka,India,295,174,5,10,Sri Lanka,Day and night,Coca-Cola Cup (Sri Lanka),Russel Arnold,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2001
West Indies,Kenya,311,205,4,10,West Indies,Day,West Indies tour of Kenya,Chris Gayle,West Indies,Kenya,field first,Kenya,away,2001
Kenya,West Indies,192,193,10,4,West Indies,Day,West Indies tour of Kenya,Shivnarine Chanderpaul,West Indies,Kenya,bat first,Kenya,away,2001
Kenya,West Indies,232,234,7,3,West Indies,Day,West Indies tour of Kenya,Steve Tikolo,Kenya,Kenya,bat first,Kenya,away,2001
South Africa,Zimbabwe,363,210,3,5,South Africa,Day,South Africa tour of Zimbabwe,Herschelle Gibbs,South Africa,South Africa,bat first,Zimbabwe,away,2001
South Africa,Zimbabwe,272,124,7,10,South Africa,Day,South Africa tour of Zimbabwe,Jonty Rhodes,South Africa,South Africa,bat first,Zimbabwe,away,2001
Zimbabwe,South Africa,184,188,6,4,South Africa,Day,South Africa tour of Zimbabwe,Neil McKenzie,South Africa,Zimbabwe,bat first,Zimbabwe,away,2001
Zimbabwe,England,206,210,10,5,England,Day,England tour of Zimbabwe,Jeremy Snape,England,Zimbabwe,bat first,Zimbabwe,away,2001
India,South Africa,279,280,5,4,South Africa,Day and night,Standard Bank Triangular Tournament,Gary Kirsten,South Africa,South Africa,field first,South Africa,home,2001
Zimbabwe,England,195,196,10,2,England,Day,England tour of Zimbabwe,Matthew Hoggard,England,Zimbabwe,bat first,Zimbabwe,away,2001
Zimbabwe,England,261,265,8,6,England,Day,England tour of Zimbabwe,Andy Flower,Zimbabwe,Zimbabwe,bat first,Zimbabwe,away,2001
Kenya,South Africa,159,160,7,3,South Africa,Day,Standard Bank Triangular Tournament,Shaun Pollock,South Africa,Kenya,bat first,South Africa,home,2001
England,Zimbabwe,280,210,9,10,England,Day,England tour of Zimbabwe,Paul Collingwood,England,England,bat first,Zimbabwe,away,2001
India,South Africa,233,192,10,10,India,Day and night,Standard Bank Triangular Tournament,Harbhajan Singh,India,India,bat first,South Africa,away,2001
Kenya,India,90,91,10,0,India,Day and night,Standard Bank Triangular Tournament,Ajit Agarkar,India,Kenya,bat first,South Africa,away,2001
Zimbabwe,England,228,229,10,3,England,Day,England tour of Zimbabwe,Nick Knight,England,Zimbabwe,bat first,Zimbabwe,away,2001
Kenya,South Africa,229,230,7,1,South Africa,Day,Standard Bank Triangular Tournament,Herschelle Gibbs,South Africa,Kenya,bat first,South Africa,home,2001
Kenya,India,246,176,6,10,Kenya,Day and night,Standard Bank Triangular Tournament,Joseph Angara,Kenya,Kenya,bat first,South Africa,away,2001
South Africa,India,282,236,4,10,South Africa,Day and night,Standard Bank Triangular Tournament,Sourav Ganguly,India,South Africa,bat first,South Africa,home,2001
South Africa,Kenya,354,146,3,10,South Africa,Day and night,Standard Bank Triangular Tournament,Neil McKenzie,South Africa,South Africa,bat first,South Africa,home,2001
India,Kenya,351,165,3,5,India,Day and night,Standard Bank Triangular Tournament,Sachin Tendulkar,India,India,bat first,South Africa,away,2001
Sri Lanka,Zimbabwe,256,193,6,10,Sri Lanka,Day and night,Khaleej Times Trophy,Charitha Buddhika,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2001
India,South Africa,183,187,10,4,South Africa,Day and night,Standard Bank Triangular Tournament,Shaun Pollock,South Africa,South Africa,field first,South Africa,home,2001
Pakistan,Sri Lanka,176,177,10,3,Sri Lanka,Day and night,Khaleej Times Trophy,Avishka Gunawardene,Sri Lanka,Pakistan,bat first,United Arab Emirates,away,2001
Pakistan,Zimbabwe,279,173,6,10,Pakistan,Day and night,Khaleej Times Trophy,Shahid Afridi,Pakistan,Pakistan,bat first,United Arab Emirates,away,2001
Sri Lanka,Zimbabwe,250,171,10,8,Sri Lanka,Day and night,Khaleej Times Trophy,Mahela Jayawardene,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2001
Pakistan,Zimbabwe,261,232,9,10,Pakistan,Day and night,Khaleej Times Trophy,Grant Flower,Zimbabwe,Pakistan,bat first,United Arab Emirates,away,2001
Sri Lanka,Pakistan,272,273,9,3,Pakistan,Day and night,Khaleej Times Trophy,Naved Latif,Pakistan,Sri Lanka,bat first,United Arab Emirates,away,2001
Sri Lanka,Pakistan,173,177,10,5,Pakistan,Day and night,Khaleej Times Trophy,Waqar Younis,Pakistan,Sri Lanka,bat first,United Arab Emirates,away,2001
Bangladesh,Zimbabwe,156,161,10,5,Zimbabwe,Day,Zimbabwe tour of Bangladesh,Craig Wishart,Zimbabwe,Zimbabwe,field first,Bangladesh,away,2001
Zimbabwe,Bangladesh,309,267,6,9,Zimbabwe,Day and night,Zimbabwe tour of Bangladesh,Dion Ebrahim,Zimbabwe,Zimbabwe,bat first,Bangladesh,away,2001
Bangladesh,Zimbabwe,215,219,10,3,Zimbabwe,Day and night,Zimbabwe tour of Bangladesh,Dion Ebrahim,Zimbabwe,Bangladesh,bat first,Bangladesh,away,2001
Zimbabwe,Sri Lanka,38,40,10,1,Sri Lanka,Day,LG Abans Triangular Series,Chaminda Vaas,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,2001
West Indies,Zimbabwe,173,175,10,6,Zimbabwe,Day,LG Abans Triangular Series,Stuart Carlisle,Zimbabwe,Zimbabwe,field first,Sri Lanka,away,2001
West Indies,Sri Lanka,250,201,8,10,West Indies,Day and night,LG Abans Triangular Series,Corey Collymore,West Indies,West Indies,bat first,Sri Lanka,away,2001
Sri Lanka,Zimbabwe,272,213,7,10,Sri Lanka,Day and night,LG Abans Triangular Series,Mahela Jayawardene,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2001
West Indies,Sri Lanka,235,239,10,2,Sri Lanka,Day,LG Abans Triangular Series,Mahela Jayawardene,Sri Lanka,Sri Lanka,field first,Sri Lanka,home,2001
Zimbabwe,West Indies,154,155,10,2,West Indies,Day,LG Abans Triangular Series,Chris Gayle,West Indies,West Indies,field first,Sri Lanka,away,2001
Sri Lanka,West Indies,253,212,8,7,Sri Lanka,Day and night,LG Abans Triangular Series,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2001
New Zealand,Australia,199,176,8,10,New Zealand,Day and night,VB Series,Chris Harris,New Zealand,Australia,field first,Australia,away,2002
Australia,South Africa,198,199,10,6,South Africa,Day and night,VB Series,Shaun Pollock,South Africa,Australia,bat first,Australia,away,2002
South Africa,New Zealand,257,231,7,9,South Africa,Day,VB Series,Gary Kirsten,South Africa,South Africa,bat first,Australia,away,2002
New Zealand,Australia,235,212,9,10,New Zealand,Day and night,VB Series,Chris Harris,New Zealand,New Zealand,bat first,Australia,away,2002
South Africa,New Zealand,241,244,10,6,New Zealand,Day and night,VB Series,Chris Cairns,New Zealand,South Africa,bat first,Australia,away,2002
India,England,281,259,8,10,India,Day and night,England tour of India,Marcus Trescothick,England,India,bat first,India,home,2002
Australia,South Africa,241,214,4,10,Australia,Day and night,VB Series,Damien Martyn,Australia,Australia,bat first,Australia,home,2002
Pakistan,Bangladesh,202,153,10,7,Pakistan,Day,Pakistan tour of Bangladesh,Rashid Latif,Pakistan,Pakistan,bat first,Bangladesh,away,2002
South Africa,Australia,106,107,10,2,Australia,Day and night,VB Series,Andy Bichel,Australia,South Africa,bat first,Australia,home,2002
England,India,250,234,7,10,England,Day,England tour of India,Paul Collingwood,England,India,field first,India,away,2002
Pakistan,Bangladesh,281,209,5,8,Pakistan,Day and night,Pakistan tour of Bangladesh,Mohammad Yousuf,Pakistan,Pakistan,bat first,Bangladesh,away,2002
Bangladesh,Pakistan,220,221,10,2,Pakistan,Day and night,Pakistan tour of Bangladesh,Shahid Afridi,Pakistan,Bangladesh,bat first,Bangladesh,away,2002
England,India,217,221,10,6,India,Day and night,England tour of India,Sachin Tendulkar,India,England,bat first,India,home,2002
New Zealand,Australia,242,165,5,10,New Zealand,Day and night,VB Series,Shane Bond,New Zealand,New Zealand,bat first,Australia,away,2002
South Africa,New Zealand,253,160,5,10,South Africa,Day and night,VB Series,Mark Boucher,South Africa,South Africa,bat first,Australia,away,2002
England,India,218,219,7,2,India,Day,England tour of India,Virender Sehwag,India,England,bat first,India,home,2002
New Zealand,Australia,245,248,8,8,Australia,Day and night,VB Series,Michael Bevan,Australia,New Zealand,bat first,Australia,home,2002
England,India,271,269,5,8,England,Day,England tour of India,Ashley Giles,England,India,field first,India,away,2002
South Africa,New Zealand,270,203,5,8,South Africa,Day and night,VB Series,Jonty Rhodes,South Africa,New Zealand,field first,Australia,away,2002
Australia,South Africa,283,250,7,5,Australia,Day,VB Series,Jacques Kallis,South Africa,South Africa,field first,Australia,home,2002
England,India,255,250,10,10,England,Day and night,England tour of India,Marcus Trescothick,England,England,bat first,India,away,2002
New Zealand,South Africa,190,191,10,2,South Africa,Day and night,VB Series,Makhaya Ntini,South Africa,New Zealand,bat first,Australia,away,2002
New Zealand,South Africa,175,173,10,4,South Africa,Day and night,VB Series,Jonty Rhodes,South Africa,New Zealand,bat first,Australia,away,2002
England,New Zealand,196,198,10,6,New Zealand,Day and night,England tour of New Zealand,Nathan Astle,New Zealand,England,bat first,New Zealand,home,2002
West Indies,Pakistan,190,193,10,6,Pakistan,Day and night,Pakistan tour of United Arab Emirates,Abdul Razzaq,Pakistan,West Indies,bat first,United Arab Emirates,away,2002
Pakistan,West Indies,232,181,10,10,Pakistan,Day and night,Pakistan tour of United Arab Emirates,Shoaib Malik,Pakistan,Pakistan,bat first,United Arab Emirates,away,2002
New Zealand,England,244,89,8,10,New Zealand,Day and night,England tour of New Zealand,Andre Adams,New Zealand,England,field first,New Zealand,home,2002
West Indies,Pakistan,260,150,5,10,West Indies,Day and night,Pakistan tour of United Arab Emirates,Carl Hooper,West Indies,West Indies,bat first,United Arab Emirates,away,2002
England,New Zealand,244,201,5,10,England,Day and night,England tour of New Zealand,Paul Collingwood,England,New Zealand,field first,New Zealand,away,2002
England,New Zealand,193,189,6,10,England,Day and night,England tour of New Zealand,Andrew Flintoff,England,England,bat first,New Zealand,away,2002
England,New Zealand,218,223,8,5,New Zealand,Day and night,England tour of New Zealand,Nathan Astle,New Zealand,England,bat first,New Zealand,home,2002
India,Zimbabwe,274,277,6,9,Zimbabwe,Day,Zimbabwe tour of India,Dougie Marillier,Zimbabwe,India,bat first,India,away,2002
India,Zimbabwe,319,255,6,10,India,Day and night,Zimbabwe tour of India,Sourav Ganguly,India,India,bat first,India,home,2002
India,Zimbabwe,191,197,10,4,Zimbabwe,Day,Zimbabwe tour of India,Douglas Hondo,Zimbabwe,India,bat first,India,away,2002
Zimbabwe,India,240,244,8,5,India,Day and night,Zimbabwe tour of India,Yuvraj Singh,India,Zimbabwe,bat first,India,home,2002
India,Zimbabwe,333,232,6,10,India,Day,Zimbabwe tour of India,Dinesh Mongia,India,India,bat first,India,home,2002
Australia,South Africa,223,204,8,10,Australia,Day,Australia tour of South Africa,Jason Gillespie,Australia,Australia,bat first,South Africa,away,2002
Australia,South Africa,226,181,8,10,Australia,Day,Australia tour of South Africa,Jimmy Maher,Australia,South Africa,field first,South Africa,away,2002
South Africa,Australia,259,259,7,9,Match tied,Day,Australia tour of South Africa,Jimmy Maher,Australia,South Africa,bat first,South Africa,away,2002
Australia,South Africa,290,253,6,10,Australia,Day,Australia tour of South Africa,Ricky Ponting,Australia,Australia,bat first,South Africa,away,2002
South Africa,Australia,267,271,6,2,Australia,Day and night,Australia tour of South Africa,Adam Gilchrist,Australia,Australia,field first,South Africa,away,2002
South Africa,Australia,326,330,3,7,Australia,Day,Australia tour of South Africa,Adam Gilchrist,Australia,South Africa,bat first,South Africa,away,2002
Sri Lanka,Pakistan,242,201,9,10,Sri Lanka,Day and night,Sharjah Cup,Sanath Jayasuriya,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2002
New Zealand,Sri Lanka,218,207,8,10,New Zealand,Day and night,Sharjah Cup,Jacob Oram,New Zealand,New Zealand,bat first,United Arab Emirates,away,2002
South Africa,Australia,249,185,7,10,South Africa,Day and night,Australia tour of South Africa,Nicky Boje,South Africa,Australia,field first,South Africa,home,2002
Pakistan,New Zealand,288,237,6,8,Pakistan,Day and night,Sharjah Cup,Inzamam-ul-Haq,Pakistan,Pakistan,bat first,United Arab Emirates,away,2002
Sri Lanka,Pakistan,239,230,6,5,Sri Lanka,Day and night,Sharjah Cup,Marvan Atapattu,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2002
Sri Lanka,New Zealand,243,197,9,9,Sri Lanka,Day and night,Sharjah Cup,Marvan Atapattu,Sri Lanka,Sri Lanka,bat first,United Arab Emirates,away,2002
New Zealand,Pakistan,213,217,9,2,Pakistan,Day and night,Sharjah Cup,Shahid Afridi,Pakistan,New Zealand,bat first,United Arab Emirates,away,2002
Pakistan,Sri Lanka,295,78,6,10,Pakistan,Day and night,Sharjah Cup,Mohammad Yousuf,Pakistan,Pakistan,bat first,United Arab Emirates,away,2002
Pakistan,New Zealand,275,122,6,10,Pakistan,Day and night,New Zealand tour of Pakistan,Shoaib Akhtar,Pakistan,Pakistan,bat first,Pakistan,home,2002
New Zealand,Pakistan,277,278,5,7,Pakistan,Day and night,New Zealand tour of Pakistan,Abdul Razzaq,Pakistan,New Zealand,bat first,Pakistan,home,2002
